1 0 0 0 0
638 15 -9 -6 12 5.19615
639 15 -8 -7 11.5 6.06218
640 15 -7 -8 11 6.9282
641 15 -6 -9 10.5 7.79423
642 15 -5 -10 10 8.66025
643 15 -4 -11 9.5 9.52628
644 15 -3 -12 9 10.3923
645 15 -2 -13 8.5 11.2583
646 15 -1 -14 8 12.1244
647 15 0 -15 7.5 12.9904
648 14 1 -15 6.5 12.9904
649 13 2 -15 5.5 12.9904
650 12 3 -15 4.5 12.9904
651 11 4 -15 3.5 12.9904
652 10 5 -15 2.5 12.9904
653 9 6 -15 1.5 12.9904
654 8 7 -15 0.5 12.9904
655 7 8 -15 -0.5 12.9904
656 6 9 -15 -1.5 12.9904
657 5 10 -15 -2.5 12.9904
658 4 11 -15 -3.5 12.9904
659 3 12 -15 -4.5 12.9904
660 2 13 -15 -5.5 12.9904
661 1 14 -15 -6.5 12.9904
662 0 15 -15 -7.5 12.9904
663 -1 15 -14 -8 12.1244
664 -2 15 -13 -8.5 11.2583
665 -3 15 -12 -9 10.3923
666 -4 15 -11 -9.5 9.52628
667 -5 15 -10 -10 8.66025
668 -6 15 -9 -10.5 7.79423
669 -7 15 -8 -11 6.9282
670 -8 15 -7 -11.5 6.06218
671 -9 15 -6 -12 5.19615
672 -10 15 -5 -12.5 4.33013
673 -11 15 -4 -13 3.4641
674 -12 15 -3 -13.5 2.59808
675 -13 15 -2 -14 1.73205
676 -14 15 -1 -14.5 0.866025
677 -15 15 0 -15 0
678 -15 14 1 -14.5 -0.866025
679 -15 13 2 -14 -1.73205
680 -15 12 3 -13.5 -2.59808
681 -15 11 4 -13 -3.4641
682 -15 10 5 -12.5 -4.33013
683 -15 9 6 -12 -5.19615
684 -15 8 7 -11.5 -6.06218
685 -15 7 8 -11 -6.9282
686 -15 6 9 -10.5 -7.79423
687 -15 5 10 -10 -8.66025
688 -15 4 11 -9.5 -9.52628
689 -15 3 12 -9 -10.3923
690 -15 2 13 -8.5 -11.2583
691 -15 1 14 -8 -12.1244
692 -15 0 15 -7.5 -12.9904
693 -14 -1 15 -6.5 -12.9904
694 -13 -2 15 -5.5 -12.9904
695 -12 -3 15 -4.5 -12.9904
696 -11 -4 15 -3.5 -12.9904
697 -10 -5 15 -2.5 -12.9904
698 -9 -6 15 -1.5 -12.9904
699 -8 -7 15 -0.5 -12.9904
700 -7 -8 15 0.5 -12.9904
701 -6 -9 15 1.5 -12.9904
702 -5 -10 15 2.5 -12.9904
703 -4 -11 15 3.5 -12.9904
704 -3 -12 15 4.5 -12.9904
705 -2 -13 15 5.5 -12.9904
706 -1 -14 15 6.5 -12.9904
707 0 -15 15 7.5 -12.9904
708 1 -15 14 8 -12.1244
709 2 -15 13 8.5 -11.2583
710 3 -15 12 9 -10.3923
711 4 -15 11 9.5 -9.52628
712 5 -15 10 10 -8.66025
713 6 -15 9 10.5 -7.79423
714 7 -15 8 11 -6.9282
715 8 -15 7 11.5 -6.06218
716 9 -15 6 12 -5.19615
717 10 -15 5 12.5 -4.33013
718 11 -15 4 13 -3.4641
719 12 -15 3 13.5 -2.59808
720 13 -15 2 14 -1.73205
721 14 -15 1 14.5 -0.866025
722 16 -16 0 16 0
723 16 -15 -1 15.5 0.866025
724 16 -14 -2 15 1.73205
725 16 -13 -3 14.5 2.59808
726 16 -12 -4 14 3.4641
727 16 -11 -5 13.5 4.33013
728 16 -10 -6 13 5.19615
729 16 -9 -7 12.5 6.06218
730 16 -8 -8 12 6.9282
731 16 -7 -9 11.5 7.79423
732 16 -6 -10 11 8.66025
733 16 -5 -11 10.5 9.52628
734 16 -4 -12 10 10.3923
735 16 -3 -13 9.5 11.2583
736 16 -2 -14 9 12.1244
737 16 -1 -15 8.5 12.9904
738 16 0 -16 8 13.8564
739 15 1 -16 7 13.8564
740 14 2 -16 6 13.8564
741 13 3 -16 5 13.8564
742 12 4 -16 4 13.8564
743 11 5 -16 3 13.8564
744 10 6 -16 2 13.8564
745 9 7 -16 1 13.8564
746 8 8 -16 0 13.8564
747 7 9 -16 -1 13.8564
748 6 10 -16 -2 13.8564
749 5 11 -16 -3 13.8564
750 4 12 -16 -4 13.8564
751 3 13 -16 -5 13.8564
752 2 14 -16 -6 13.8564
753 1 15 -16 -7 13.8564
754 0 16 -16 -8 13.8564
755 -1 16 -15 -8.5 12.9904
756 -2 16 -14 -9 12.1244
757 -3 16 -13 -9.5 11.2583
758 -4 16 -12 -10 10.3923
759 -5 16 -11 -10.5 9.52628
760 -6 16 -10 -11 8.66025
761 -7 16 -9 -11.5 7.79423
762 -8 16 -8 -12 6.9282
763 -9 16 -7 -12.5 6.06218
764 -10 16 -6 -13 5.19615
765 -11 16 -5 -13.5 4.33013
